Gene / product (bioentity_label)	Gene / product (bioentity_name)	Organism	Type	Source	Synonyms
CENPV	CENP-V/GFA domain-containing protein	Sus scrofa	protein	UniProtKB	
KIF3A	Kinesin-like protein	Sus scrofa	protein	UniProtKB	
A0A5G2QW47	Transmembrane protein	Sus scrofa	protein	UniProtKB	
A0A286ZSP8	Gamma-interferon-inducible protein 16	Sus scrofa	protein	UniProtKB	
SIRPA	Tyrosine-protein phosphatase non-receptor type substrate 1	Sus scrofa	protein	UniProtKB	
CA5A	Carbonic anhydrase	Sus scrofa	protein	UniProtKB	
NMNAT3	Nicotinamide-nucleotide adenylyltransferase	Sus scrofa	protein	UniProtKB	
PFDN2	Prefoldin subunit 2	Sus scrofa	protein	UniProtKB	
QRFP	Orexigenic neuropeptide QRFP	Sus scrofa	protein	UniProtKB	
PRDM12	PR domain zinc finger protein 12	Sus scrofa	protein	UniProtKB	
LOC110259634	Olfactory receptor	Sus scrofa	protein	UniProtKB	
LOC110258322	Olfactory receptor	Sus scrofa	protein	UniProtKB	
SASH3	SAM and SH3 domain containing 3	Sus scrofa	protein	UniProtKB	
RALGAPA1	Ral GTPase-activating protein subunit alpha-1	Sus scrofa	protein	UniProtKB	GARNL1|TULIP1
MYO3B	Myosin IIIB	Sus scrofa	protein	UniProtKB	
SIDT2	SID1 transmembrane family member 2	Sus scrofa	protein	UniProtKB	
GPR62	G_PROTEIN_RECEP_F1_2 domain-containing protein	Sus scrofa	protein	UniProtKB	
ZNF354B	Zinc finger protein 354B	Sus scrofa	protein	UniProtKB	
RTN2	Reticulon	Sus scrofa	protein	UniProtKB	
ITGB1BP1	PID domain-containing protein	Sus scrofa	protein	UniProtKB	
ADH4	Enoyl reductase (ER) domain-containing protein	Sus scrofa	protein	UniProtKB	
SHMT1	Serine hydroxymethyltransferase	Sus scrofa	protein	UniProtKB	
A0A5G2QW62	GPI ethanolamine phosphate transferase 1	Sus scrofa	protein	UniProtKB	
CARM1	Histone-arginine methyltransferase CARM1	Sus scrofa	protein	UniProtKB	
FKBP11	peptidylprolyl isomerase	Sus scrofa	protein	UniProtKB	
LOC110258386	Olfactory receptor	Sus scrofa	protein	UniProtKB	
A0A5G2RAP5	RTC domain-containing protein	Sus scrofa	protein	UniProtKB	
A0A5G2RAP4	Claudin-34	Sus scrofa	protein	UniProtKB	
RRP15	RRP15-like protein	Sus scrofa	protein	UniProtKB	
ASB4	SOCS box domain-containing protein	Sus scrofa	protein	UniProtKB	
LOC100154757	Olfactory receptor	Sus scrofa	protein	UniProtKB	
MKNK2	Protein kinase domain-containing protein	Sus scrofa	protein	UniProtKB	
STIMATE	Store-operated calcium entry regulator STIMATE	Sus scrofa	protein	UniProtKB	
P49879	Interferon alpha-1	Sus scrofa	protein	UniProtKB	
CPSF2	Cleavage and polyadenylation specificity factor subunit 2	Sus scrofa	protein	UniProtKB	
CCT5	T-complex protein 1 subunit epsilon	Sus scrofa	protein	UniProtKB	
SFTPA1	Pulmonary surfactant-associated protein A	Sus scrofa	protein	UniProtKB	SFTP1|SFTPA
EXOC4	Exocyst complex component Sec8	Sus scrofa	protein	UniProtKB	
MPP4	Membrane palmitoylated protein 4	Sus scrofa	protein	UniProtKB	
DCN	Decorin	Sus scrofa	protein	UniProtKB	
JCHAIN	Immunoglobulin J chain	Sus scrofa	protein	UniProtKB	
SHC2	SHC-transforming protein 2	Sus scrofa	protein	UniProtKB	
A0A287BQC1	nucleoside-diphosphate kinase	Sus scrofa	protein	UniProtKB	
STAMBP	MPN domain-containing protein	Sus scrofa	protein	UniProtKB	
ING4	Inhibitor of growth protein	Sus scrofa	protein	UniProtKB	
AGXT2	Alanine--glyoxylate aminotransferase 2, mitochondrial	Sus scrofa	protein	UniProtKB	
EMC2	ER membrane protein complex subunit 2	Sus scrofa	protein	UniProtKB	
ALG9	Mannosyltransferase	Sus scrofa	protein	UniProtKB	
INCENP	Inner centromere protein	Sus scrofa	protein	UniProtKB	
LOC100152710	Olfactory receptor	Sus scrofa	protein	UniProtKB	
EPPIN	Eppin-like	Sus scrofa	protein	UniProtKB	
CIAO2A	FeS_assembly_P domain-containing protein	Sus scrofa	protein	UniProtKB	
A0A287BQB1	zf-C3HC4 domain-containing protein	Sus scrofa	protein	UniProtKB	
LOC100523983	Olfactory receptor	Sus scrofa	protein	UniProtKB	
RXFP1	G_PROTEIN_RECEP_F1_2 domain-containing protein	Sus scrofa	protein	UniProtKB	
LOC100522351	Olfactory receptor	Sus scrofa	protein	UniProtKB	
PATL2	PAT1 domain-containing protein	Sus scrofa	protein	UniProtKB	
SORL1	Sortilin-related receptor	Sus scrofa	protein	UniProtKB	
KCTD13	BTB domain-containing protein	Sus scrofa	protein	UniProtKB	
SCG2	Secretogranin-2	Sus scrofa	protein	UniProtKB	
NAA25	TPR_REGION domain-containing protein	Sus scrofa	protein	UniProtKB	
A0A5G2RAL2	Potassium channel subfamily K member	Sus scrofa	protein	UniProtKB	
HCN3	Hyperpolarization activated cyclic nucleotide gated potassium channel 3	Sus scrofa	protein	UniProtKB	
SUPT20H	Spt20 domain-containing protein	Sus scrofa	protein	UniProtKB	
LOC100522184	Olfactory receptor	Sus scrofa	protein	UniProtKB	
TCF7L2	HMG box domain-containing protein	Sus scrofa	protein	UniProtKB	
MRPS6	Mitochondrial ribosomal protein S6	Sus scrofa	protein	UniProtKB	
MYO6	Unconventional myosin-VI	Sus scrofa	protein	UniProtKB	
KLK12	Peptidase S1 domain-containing protein	Sus scrofa	protein	UniProtKB	
LOC100516420	Adhesion G protein-coupled receptor E2	Sus scrofa	protein	UniProtKB	
ME1	Malic enzyme	Sus scrofa	protein	UniProtKB	
AKT3	non-specific serine/threonine protein kinase	Sus scrofa	protein	UniProtKB	
EFNA5	Ephrin RBD domain-containing protein	Sus scrofa	protein	UniProtKB	
GPR139	G_PROTEIN_RECEP_F1_2 domain-containing protein	Sus scrofa	protein	UniProtKB	
ADAMTS4	Peptidase M12B domain-containing protein	Sus scrofa	protein	UniProtKB	
CARMIL1	F-actin-uncapping protein LRRC16A	Sus scrofa	protein	UniProtKB	
MTPN	ANK_REP_REGION domain-containing protein	Sus scrofa	protein	UniProtKB	
MYOD1	Myoblast determination protein 1	Sus scrofa	protein	UniProtKB	MYOD
PICALM	ENTH domain-containing protein	Sus scrofa	protein	UniProtKB	
TMEM109	Transmembrane protein 109	Sus scrofa	protein	UniProtKB	
UBP1	Grh/CP2 DB domain-containing protein	Sus scrofa	protein	UniProtKB	
A0A5G2RAI0	Secreted protein	Sus scrofa	protein	UniProtKB	
LYRM1	Complex1_LYR_dom domain-containing protein	Sus scrofa	protein	UniProtKB	
DRG1	Developmentally-regulated GTP-binding protein 1	Sus scrofa	protein	UniProtKB	
DMRT2	DM domain-containing protein	Sus scrofa	protein	UniProtKB	
TMBIM1	Protein lifeguard 3	Sus scrofa	protein	UniProtKB	
DNAAF4	Dynein axonemal assembly factor 4	Sus scrofa	protein	UniProtKB	
A0A5G2RAH3	Ovule protein	Sus scrofa	protein	UniProtKB	
PLA2G3	PA2c domain-containing protein	Sus scrofa	protein	UniProtKB	
INPP5J	inositol-polyphosphate 5-phosphatase	Sus scrofa	protein	UniProtKB	
ANKS4B	SAM domain-containing protein	Sus scrofa	protein	UniProtKB	
ABHD16B	AB hydrolase-1 domain-containing protein	Sus scrofa	protein	UniProtKB	
ANKRD13D	Ankyrin repeat domain-containing protein 13D	Sus scrofa	protein	UniProtKB	
A0A5G2RAG3	Ovule protein	Sus scrofa	protein	UniProtKB	
DSTN	Destrin	Sus scrofa	protein	UniProtKB	
UQCRC2	Cytochrome b-c1 complex subunit 2, mitochondrial	Sus scrofa	protein	UniProtKB	
LOC100521447	SGK3 kinase	Sus scrofa	protein	UniProtKB	SGK3
NFIX	Nuclear factor 1	Sus scrofa	protein	UniProtKB	
GIMAP1	AIG1-type G domain-containing protein	Sus scrofa	protein	UniProtKB	
FOXD2	Fork-head domain-containing protein	Sus scrofa	protein	UniProtKB	
AP3S1	Clat_adaptor_s domain-containing protein	Sus scrofa	protein	UniProtKB	
SFTPD	C-type lectin domain-containing protein	Sus scrofa	protein	UniProtKB	
A0A286ZSZ8	Transmembrane epididymal protein 1A	Sus scrofa	protein	UniProtKB	
ARPP19	cAMP-regulated phosphoprotein 19	Sus scrofa	protein	UniProtKB	
TLE7	TLE family member 7	Sus scrofa	protein	UniProtKB	
A0A5G2RAF6	Lipocln_cytosolic_FA-bd_dom domain-containing protein	Sus scrofa	protein	UniProtKB	
TCN2	Transcobalamin-2	Sus scrofa	protein	UniProtKB	
RPRM	Protein reprimo	Sus scrofa	protein	UniProtKB	
DPYS	Amidohydro-rel domain-containing protein	Sus scrofa	protein	UniProtKB	
ZNF496	Zinc finger protein 496	Sus scrofa	protein	UniProtKB	
STK17B	Protein kinase domain-containing protein	Sus scrofa	protein	UniProtKB	
ZNF592	Zinc finger protein 592	Sus scrofa	protein	UniProtKB	
TRPV1	Transient receptor potential cation channel subfamily V member 1	Sus scrofa	protein	UniProtKB	
KCTD7	BTB domain-containing protein	Sus scrofa	protein	UniProtKB	
INPPL1	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2	Sus scrofa	protein	UniProtKB	
SCNN1G	Amiloride-sensitive sodium channel subunit gamma	Sus scrofa	protein	UniProtKB	
FAAP20	UBZ2-type domain-containing protein	Sus scrofa	protein	UniProtKB	
ZNF445	Zinc finger protein 445	Sus scrofa	protein	UniProtKB	
LOC110258278	Olfactory receptor	Sus scrofa	protein	UniProtKB	
USP33	Ubiquitin carboxyl-terminal hydrolase	Sus scrofa	protein	UniProtKB	
TCEANC2	Transcription elongation factor A N-terminal and central domain-containing protein 2	Sus scrofa	protein	UniProtKB	
MAPK12	Mitogen-activated protein kinase	Sus scrofa	protein	UniProtKB	
GPR180	GpcrRhopsn4 domain-containing protein	Sus scrofa	protein	UniProtKB	
LOC110262013	Sulfotransferase	Sus scrofa	protein	UniProtKB	
ZNF461	Zinc finger protein 461	Sus scrofa	protein	UniProtKB	
LOC100513311	Olfactory receptor	Sus scrofa	protein	UniProtKB	
FOXD4	Fork-head domain-containing protein	Sus scrofa	protein	UniProtKB	
CRTC3	CREB regulated transcription coactivator 3	Sus scrofa	protein	UniProtKB	
GARRE1	DUF4745 domain-containing protein	Sus scrofa	protein	UniProtKB	
NDUFB4	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4	Sus scrofa	protein	UniProtKB	
PRMT2	SH3 domain-containing protein	Sus scrofa	protein	UniProtKB	
VARS1	Valine--tRNA ligase	Sus scrofa	protein	UniProtKB	
PDCD11	Programmed cell death 11	Sus scrofa	protein	UniProtKB	
ATF7IP	Fibronectin type-III domain-containing protein	Sus scrofa	protein	UniProtKB	
LOC100736743	Olfactory receptor	Sus scrofa	protein	UniProtKB	
ATP8A1	Phospholipid-transporting ATPase	Sus scrofa	protein	UniProtKB	
CHSY3	Hexosyltransferase	Sus scrofa	protein	UniProtKB	
POU6F2	POU domain protein	Sus scrofa	protein	UniProtKB	
LOC100154900	Olfactory receptor	Sus scrofa	protein	UniProtKB	
RGMA	Repulsive guidance molecule A	Sus scrofa	protein	UniProtKB	
DEFB1	Beta-defensin 1	Sus scrofa	protein	UniProtKB	
MTMR4	protein-tyrosine-phosphatase	Sus scrofa	protein	UniProtKB	
MDH2	Malate dehydrogenase	Sus scrofa	protein	UniProtKB	
EBF1	IPT/TIG domain-containing protein	Sus scrofa	protein	UniProtKB	
TXNRD1	thioredoxin-disulfide reductase	Sus scrofa	protein	UniProtKB	
EIF2A	Eukaryotic translation initiation factor 2A	Sus scrofa	protein	UniProtKB	
F1RPI1	Olfactory receptor	Sus scrofa	protein	UniProtKB	
TMEM53	Transmembrane protein 53	Sus scrofa	protein	UniProtKB	
SH2D3C	SH2 domain-containing protein 3C	Sus scrofa	protein	UniProtKB	
URB2	Urb2 domain-containing protein	Sus scrofa	protein	UniProtKB	
TMEM101	Transmembrane protein 101	Sus scrofa	protein	UniProtKB	
LOC396788	Uncharacterized protein	Sus scrofa	protein	UniProtKB	
PHAX	Phosphorylated adapter RNA export protein	Sus scrofa	protein	UniProtKB	
RAP1GAP2	Rap-GAP domain-containing protein	Sus scrofa	protein	UniProtKB	
FCHO1	FCH and mu domain containing endocytic adaptor 1	Sus scrofa	protein	UniProtKB	
SORCS3	PKD domain-containing protein	Sus scrofa	protein	UniProtKB	
ST6GAL1	Beta-galactoside alpha-2,6-sialyltransferase 1	Sus scrofa	protein	UniProtKB	
TARS2	threonine--tRNA ligase	Sus scrofa	protein	UniProtKB	
LOC100524512	G_PROTEIN_RECEP_F1_2 domain-containing protein	Sus scrofa	protein	UniProtKB	
TST	Sulfurtransferase	Sus scrofa	protein	UniProtKB	
IYD	Iodotyrosine deiodinase 1	Sus scrofa	protein	UniProtKB	
JAML	Junctional adhesion molecule-like	Sus scrofa	protein	UniProtKB	
ATP6V0C	V-type proton ATPase proteolipid subunit	Sus scrofa	protein	UniProtKB	
A0A287BPS9	Olfactory receptor	Sus scrofa	protein	UniProtKB	
TMEM69	Transmembrane protein 69	Sus scrofa	protein	UniProtKB	
YIPF2	Protein YIPF	Sus scrofa	protein	UniProtKB	
LOC100154120	Olfactory receptor	Sus scrofa	protein	UniProtKB	
HDAC4	Histone deacetylase	Sus scrofa	protein	UniProtKB	
ACP5	Tartrate-resistant acid phosphatase type 5	Sus scrofa	protein	UniProtKB	
A0A5G2QWG1	Ovule protein	Sus scrofa	protein	UniProtKB	
H2AC14	Histone H2A	Sus scrofa	protein	UniProtKB	LOC100154071
HSDL1	Inactive hydroxysteroid dehydrogenase-like protein 1	Sus scrofa	protein	UniProtKB	
LOC100523079	G_PROTEIN_RECEP_F1_2 domain-containing protein	Sus scrofa	protein	UniProtKB	
ADCY7	Adenylate cyclase type 7	Sus scrofa	protein	UniProtKB	
FGFBP3	Fibroblast growth factor-binding protein 3	Sus scrofa	protein	UniProtKB	
A0A287BQ31	Ig-like domain-containing protein	Sus scrofa	protein	UniProtKB	
P00999	Seminal plasma acrosin inhibitor A1	Sus scrofa	protein	UniProtKB	
RUNDC1	RUN domain-containing protein	Sus scrofa	protein	UniProtKB	
SREBF1	Sterol regulatory element-binding protein 1	Sus scrofa	protein	UniProtKB	ADD1|SREBP1
GEMIN7	SUZ-C domain-containing protein	Sus scrofa	protein	UniProtKB	
ZDHHC17	Palmitoyltransferase	Sus scrofa	protein	UniProtKB	
MT-ND5	NADH-ubiquinone oxidoreductase chain 5	Sus scrofa	protein	UniProtKB	MTND5|NADH5|ND5
ZFP36L1	mRNA decay activator protein ZFP36	Sus scrofa	protein	UniProtKB	
PPP1CC	Serine/threonine-protein phosphatase	Sus scrofa	protein	UniProtKB	
COL13A1	Collagen alpha-1(XIII) chain	Sus scrofa	protein	UniProtKB	
LYAR	zf-LYAR domain-containing protein	Sus scrofa	protein	UniProtKB	
LOC106504857	Olfactory receptor	Sus scrofa	protein	UniProtKB	
ITGA2B	Integrin_alpha2 domain-containing protein	Sus scrofa	protein	UniProtKB	
CLEC12A	C-type lectin domain-containing protein	Sus scrofa	protein	UniProtKB	
CENPF	Centromere protein F	Sus scrofa	protein	UniProtKB	
RPL22L1	60S ribosomal protein L22-like 1	Sus scrofa	protein	UniProtKB	
SMYD2	N-lysine methyltransferase SMYD2	Sus scrofa	protein	UniProtKB	
PROX1	Prospero domain-containing protein	Sus scrofa	protein	UniProtKB	
HROB	Homologous recombination factor with OB-fold	Sus scrofa	protein	UniProtKB	
NDUFA11	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11	Sus scrofa	protein	UniProtKB	
FBXW11	F-box domain-containing protein	Sus scrofa	protein	UniProtKB	
SH3GL2	SH3G2 protein	Sus scrofa	protein	UniProtKB	
OR51G2	Olfactory receptor	Sus scrofa	protein	UniProtKB	
SMYD4	SET and MYND domain-containing protein 4	Sus scrofa	protein	UniProtKB	
LOC100512207	Olfactory receptor	Sus scrofa	protein	UniProtKB	
A0A5G2RND1	MARVEL domain-containing protein	Sus scrofa	protein	UniProtKB	
C7H14orf93	C14orf93	Sus scrofa	protein	UniProtKB	C14orf93
NOB1	RNA-binding protein NOB1	Sus scrofa	protein	UniProtKB	
FOXI1	Fork-head domain-containing protein	Sus scrofa	protein	UniProtKB	
SOGA3	Protein SOGA3	Sus scrofa	protein	UniProtKB	
ECHDC1	ECHD1 decarboxylase	Sus scrofa	protein	UniProtKB	
SLIT3	Slit guidance ligand 3	Sus scrofa	protein	UniProtKB	
RSPO3	Furin-like_2 domain-containing protein	Sus scrofa	protein	UniProtKB	
PANK3	Pantothenate kinase 3	Sus scrofa	protein	UniProtKB	
A0A5G2Q838	Olfactory receptor	Sus scrofa	protein	UniProtKB	
LOC110258252	G_PROTEIN_RECEP_F1_2 domain-containing protein	Sus scrofa	protein	UniProtKB	
SLC4A10	Anion exchange protein	Sus scrofa	protein	UniProtKB	
TMED6	GOLD domain-containing protein	Sus scrofa	protein	UniProtKB	
TASP1	Threonine aspartase 1	Sus scrofa	protein	UniProtKB	
RGS8	Regulator of G-protein signaling 8	Sus scrofa	protein	UniProtKB	
STS	Sulfatase domain-containing protein	Sus scrofa	protein	UniProtKB	
NELFE	Negative elongation factor E	Sus scrofa	protein	UniProtKB	
TATDN3	Deoxyribonuclease TATDN3	Sus scrofa	protein	UniProtKB	
NSL1	Kinetochore-associated protein NSL1 homolog	Sus scrofa	protein	UniProtKB	
TMEM171	Transmembrane protein 171	Sus scrofa	protein	UniProtKB	
RASSF10	Ras-associating domain-containing protein	Sus scrofa	protein	UniProtKB	
P2RY11	G_PROTEIN_RECEP_F1_2 domain-containing protein	Sus scrofa	protein	UniProtKB	
CMAH	Cytidine monophosphate-N-acetylneuraminic acid hydroxylase	Sus scrofa	protein	UniProtKB	
ASGR2	C-type lectin domain-containing protein	Sus scrofa	protein	UniProtKB	
RGS9BP	Regulator of G-protein signaling 9-binding protein	Sus scrofa	protein	UniProtKB	
PHKB	Phosphorylase b kinase regulatory subunit	Sus scrofa	protein	UniProtKB	
GOLT1A	Vesicle transport protein GOT1A	Sus scrofa	protein	UniProtKB	
NIPSNAP1	NIPSNAP domain-containing protein	Sus scrofa	protein	UniProtKB	
CDC42EP2	Cdc42 effector protein 2	Sus scrofa	protein	UniProtKB	
PIK3C2B	Phosphatidylinositol-4-phosphate 3-kinase	Sus scrofa	protein	UniProtKB	
MDM4	Protein Mdm4	Sus scrofa	protein	UniProtKB	
AZIN1	Antizyme inhibitor 1	Sus scrofa	protein	UniProtKB	
GABRA1	Gamma-aminobutyric acid receptor subunit alpha-1	Sus scrofa	protein	UniProtKB	
TESK2	Protein kinase domain-containing protein	Sus scrofa	protein	UniProtKB	
PITPNB	Phosphatidylinositol transfer protein beta	Sus scrofa	protein	UniProtKB	
A0A5G2Q814	Secreted protein	Sus scrofa	protein	UniProtKB	
SNED1	Sushi, nidogen and EGF like domains 1	Sus scrofa	protein	UniProtKB	
LOC100151922	Olfactory receptor	Sus scrofa	protein	UniProtKB	
ZNF35	Zinc finger protein 35	Sus scrofa	protein	UniProtKB	
ZDHHC12	Palmitoyltransferase	Sus scrofa	protein	UniProtKB	
GGT1	Glutathione hydrolase	Sus scrofa	protein	UniProtKB	
UROD	Uroporphyrinogen decarboxylase	Sus scrofa	protein	UniProtKB	
ENDOG	Endonuclease	Sus scrofa	protein	UniProtKB	
SPOUT1	SPOUT1	Sus scrofa	protein	UniProtKB	
LRRN2	Ig-like domain-containing protein	Sus scrofa	protein	UniProtKB	
DSTYK	Protein kinase domain-containing protein	Sus scrofa	protein	UniProtKB	
TMCC2	Transmembrane and coiled-coil domains protein 2	Sus scrofa	protein	UniProtKB	
KIF20A	Kinesin-like protein	Sus scrofa	protein	UniProtKB	
IFI35	Interferon induced protein 35	Sus scrofa	protein	UniProtKB	
FASTK	RAP domain-containing protein	Sus scrofa	protein	UniProtKB	
NPC1	NPC intracellular cholesterol transporter 1	Sus scrofa	protein	UniProtKB	
SKI	Ski oncogene	Sus scrofa	protein	UniProtKB	
CTDSP1	protein-serine/threonine phosphatase	Sus scrofa	protein	UniProtKB	
RBBP5	WD_REPEATS_REGION domain-containing protein	Sus scrofa	protein	UniProtKB	
CLVS2	Clavesin-2	Sus scrofa	protein	UniProtKB	
CDK18	Protein kinase domain-containing protein	Sus scrofa	protein	UniProtKB	
VPS51	Vacuolar protein sorting-associated protein 51 homolog	Sus scrofa	protein	UniProtKB	
LOC100622639	Olfactory receptor	Sus scrofa	protein	UniProtKB	
SLU7	Pre-mRNA-splicing factor SLU7	Sus scrofa	protein	UniProtKB	
YLPM1	YLP motif-containing protein 1	Sus scrofa	protein	UniProtKB	
ELAC1	Zinc phosphodiesterase ELAC protein 1	Sus scrofa	protein	UniProtKB	
IFT22	Intraflagellar transport protein 22 homolog	Sus scrofa	protein	UniProtKB	
RPL11	60S ribosomal protein L11	Sus scrofa	protein	UniProtKB	
A0A5G2Q7N4	RNA-directed DNA polymerase	Sus scrofa	protein	UniProtKB	
KLHL20	BTB domain-containing protein	Sus scrofa	protein	UniProtKB	
APCDD1	Protein APCDD1	Sus scrofa	protein	UniProtKB	
LIMA1	LIM zinc-binding domain-containing protein	Sus scrofa	protein	UniProtKB	
SNX15	PX domain-containing protein	Sus scrofa	protein	UniProtKB	
LOC100513718	Olfactory receptor	Sus scrofa	protein	UniProtKB	
CNPY2	Saposin B-type domain-containing protein	Sus scrofa	protein	UniProtKB	
KIF2C	Kinesin-like protein	Sus scrofa	protein	UniProtKB	
CORIN	Atrial natriuretic peptide-converting enzyme	Sus scrofa	protein	UniProtKB	
SYVN1	RING-type E3 ubiquitin transferase	Sus scrofa	protein	UniProtKB	LOC110261249
SRI	EF-hand domain-containing protein	Sus scrofa	protein	UniProtKB	
HPGD	15-hydroxyprostaglandin dehydrogenase	Sus scrofa	protein	UniProtKB	
HEXB	Beta-hexosaminidase	Sus scrofa	protein	UniProtKB	
GPR34	G_PROTEIN_RECEP_F1_2 domain-containing protein	Sus scrofa	protein	UniProtKB	
FDPS	Farnesyl pyrophosphate synthase	Sus scrofa	protein	UniProtKB	
HEPHL1	Hephaestin like 1	Sus scrofa	protein	UniProtKB	
A0A5G2Q7M4	Ovule protein	Sus scrofa	protein	UniProtKB	
A0A287AGA8	Uncharacterized protein	Sus scrofa	protein	UniProtKB	
RPS6KL1	non-specific serine/threonine protein kinase	Sus scrofa	protein	UniProtKB	
PFKL	6-phosphofructokinase	Sus scrofa	protein	UniProtKB	
LOC100624632	Vomeronasal type-1 receptor	Sus scrofa	protein	UniProtKB	
PPP2R5B	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit	Sus scrofa	protein	UniProtKB	
EHD1	EH domain containing 1	Sus scrofa	protein	UniProtKB	
CDC42BPG	non-specific serine/threonine protein kinase	Sus scrofa	protein	UniProtKB	
LOC110260674	Olfactory receptor	Sus scrofa	protein	UniProtKB	
PIGC	Phosphatidylinositol N-acetylglucosaminyltransferase subunit C	Sus scrofa	protein	UniProtKB	
PDSS2	Decaprenyl diphosphate synthase subunit 2	Sus scrofa	protein	UniProtKB	
PARL	Rhomboid domain-containing protein	Sus scrofa	protein	UniProtKB	
ODC1	Ornithine decarboxylase 1	Sus scrofa	protein	UniProtKB	
DEFB1	Beta-defensin 1	Sus scrofa	protein	UniProtKB	
ARHGAP27	Rho GTPase-activating protein 27	Sus scrofa	protein	UniProtKB	
MAP3K14	Mitogen-activated protein kinase kinase kinase 14	Sus scrofa	protein	UniProtKB	
NEK9	Protein kinase domain-containing protein	Sus scrofa	protein	UniProtKB	
SHISA4	Protein shisa-4	Sus scrofa	protein	UniProtKB	
CDCP2	NADH-cytochrome b5 reductase	Sus scrofa	protein	UniProtKB	
CERS4	Ceramide synthase 4	Sus scrofa	protein	UniProtKB	LASS4
SLC2A8	MFS domain-containing protein	Sus scrofa	protein	UniProtKB	
ESRRB	Steroid hormone receptor ERR2	Sus scrofa	protein	UniProtKB	
MTERF1	Transcription termination factor 1, mitochondrial	Sus scrofa	protein	UniProtKB	
NTAQ1	Protein N-terminal glutamine amidohydrolase	Sus scrofa	protein	UniProtKB	
F1RQP6	LAM_G_DOMAIN domain-containing protein	Sus scrofa	protein	UniProtKB	
ZHX1	Zinc fingers and homeoboxes protein 1	Sus scrofa	protein	UniProtKB	
FAM83A	FAM83 domain-containing protein	Sus scrofa	protein	UniProtKB	
ESRRA	Steroid hormone receptor ERR1	Sus scrofa	protein	UniProtKB	
LOC102161660	Olfactory receptor	Sus scrofa	protein	UniProtKB	
PRDX5	Peroxiredoxin-5	Sus scrofa	protein	UniProtKB	
SSR3	Translocon-associated protein subunit gamma	Sus scrofa	protein	UniProtKB	
UTP3	Sas10 domain-containing protein	Sus scrofa	protein	UniProtKB	
RAB22A	Ras-related protein Rab-22A	Sus scrofa	protein	UniProtKB	
TEAD3	YBD domain-containing protein	Sus scrofa	protein	UniProtKB	
A0A5G2Q7J3	Ovule protein	Sus scrofa	protein	UniProtKB	
KPNA6	Importin subunit alpha	Sus scrofa	protein	UniProtKB	
TMEM244	Transmembrane protein 244	Sus scrofa	protein	UniProtKB	
NMT1	Glycylpeptide N-tetradecanoyltransferase	Sus scrofa	protein	UniProtKB	
KIF18B	Kinesin-like protein	Sus scrofa	protein	UniProtKB	
GFAP	Glial fibrillary acidic protein	Sus scrofa	protein	UniProtKB	
FAM187A	Ig-like domain-containing protein	Sus scrofa	protein	UniProtKB	
CCDC103	Dynein_attach_N domain-containing protein	Sus scrofa	protein	UniProtKB	
USP24	ubiquitinyl hydrolase 1	Sus scrofa	protein	UniProtKB	
ZNF232	Zinc finger protein 232	Sus scrofa	protein	UniProtKB	
RRBP1	Rib_recp_KP_reg domain-containing protein	Sus scrofa	protein	UniProtKB	
MYNN	Myoneurin	Sus scrofa	protein	UniProtKB	MYNN-1
TWF2	TWF2	Sus scrofa	protein	UniProtKB	
MCM2	DNA replication licensing factor MCM2	Sus scrofa	protein	UniProtKB	
ECE1	Endothelin-converting enzyme 1	Sus scrofa	protein	UniProtKB	
ASH1L	Histone-lysine N-methyltransferase ASH1L	Sus scrofa	protein	UniProtKB	
KCNK4	Potassium channel subfamily K member 4	Sus scrofa	protein	UniProtKB	
SLC28A1	Sodium/nucleoside cotransporter 1	Sus scrofa	protein	UniProtKB	CNT1
ANGEL1	Endo/exonuclease/phosphatase domain-containing protein	Sus scrofa	protein	UniProtKB	
SPATA5	vesicle-fusing ATPase	Sus scrofa	protein	UniProtKB	
NUDT6	Nucleoside diphosphate-linked moiety X motif 6	Sus scrofa	protein	UniProtKB	
GIGYF1	GYF domain-containing protein	Sus scrofa	protein	UniProtKB	
ELOVL3	Elongation of very long chain fatty acids protein 3	Sus scrofa	protein	UniProtKB	
EBP	EXPERA domain-containing protein	Sus scrofa	protein	UniProtKB	
AIPL1	Aryl-hydrocarbon-interacting protein-like 1	Sus scrofa	protein	UniProtKB	
DCTN6	Dynactin subunit 6	Sus scrofa	protein	UniProtKB	
RAB35	Ras-related protein Rab-35	Sus scrofa	protein	UniProtKB	
AK5	nucleoside-diphosphate kinase	Sus scrofa	protein	UniProtKB	
POMT2	Dolichyl-phosphate-mannose--protein mannosyltransferase	Sus scrofa	protein	UniProtKB	
TMEM63C	Transmembrane protein 63C	Sus scrofa	protein	UniProtKB	
PRSS35	Peptidase S1 domain-containing protein	Sus scrofa	protein	UniProtKB	
F1S2M2	SEA domain-containing protein	Sus scrofa	protein	UniProtKB	
LIAS	Lipoyl synthase, mitochondrial	Sus scrofa	protein	UniProtKB	
TPBG	Trophoblast glycoprotein	Sus scrofa	protein	UniProtKB	
CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	Sus scrofa	protein	UniProtKB	
