Gene / product (bioentity_label)	Gene / product (bioentity_name)	Organism (taxon_label)	Type	Source	Synonyms
Mir3968	microRNA 3968	Mus musculus	miRNA_gene	MGI	mmu-mir-3968
Mppe1	metallophosphoesterase 1	Mus musculus	protein_coding_gene	MGI	Pgap5
Akirin2	akirin 2	Mus musculus	protein_coding_gene	MGI	2700059D21Rik
Nkain1	Na+/K+ transporting ATPase interacting 1	Mus musculus	protein_coding_gene	MGI	2610200G18Rik|2810426C15Rik
Ramac	RNA guanine-7 methyltransferase activating subunit	Mus musculus	protein_coding_gene	MGI	2410047I02Rik|2610204K14Rik|Fam103a1|Rammet
Tomm34	translocase of outer mitochondrial membrane 34	Mus musculus	protein_coding_gene	MGI	2610100K07Rik|TOM34
Fam167b	family with sequence similarity 167, member B	Mus musculus	protein_coding_gene	MGI	
Ikzf5	IKAROS family zinc finger 5	Mus musculus	protein_coding_gene	MGI	2610034F18Rik|Zfpn1a5
2510019K15Rik	RIKEN cDNA 2510019K15 gene	Mus musculus	lncRNA_gene	MGI	
Fbxo5	F-box protein 5	Mus musculus	protein_coding_gene	MGI	2510044I10Rik|Emi1|Fbxo31
Zfp318	zinc finger protein 318	Mus musculus	protein_coding_gene	MGI	2610034E08Rik|D530032D06Rik|TZF
Mis12	MIS12 kinetochore complex component	Mus musculus	protein_coding_gene	MGI	2510025F08Rik
Herc6	hect domain and RLD 6	Mus musculus	protein_coding_gene	MGI	1700121D12Rik|2510038N07Rik|4930427L17Rik|CEB1|Herc5
Sit1	suppression inducing transmembrane adaptor 1	Mus musculus	protein_coding_gene	MGI	Sit
Kbtbd4	kelch repeat and BTB (POZ) domain containing 4	Mus musculus	protein_coding_gene	MGI	2510026C23Rik
Bpifa5	BPI fold containing family A, member 5	Mus musculus	protein_coding_gene	MGI	2310021H06Rik|2310074B19Rik
Nop56	NOP56 ribonucleoprotein	Mus musculus	protein_coding_gene	MGI	2310044F10Rik|56kDa with KKE/D repeat|Nol5a
Gp2	glycoprotein 2 (zymogen granule membrane)	Mus musculus	protein_coding_gene	MGI	2310037I18Rik
Acbd4	acyl-Coenzyme A binding domain containing 4	Mus musculus	protein_coding_gene	MGI	2010009P05Rik|2010015A21Rik
Ndufa6	NADH:ubiquinone oxidoreductase subunit A6	Mus musculus	protein_coding_gene	MGI	14kDa|B230217P19Rik
Lztfl1	leucine zipper transcription factor-like 1	Mus musculus	protein_coding_gene	MGI	5530402H04Rik|6130400H19Rik
Niban3	niban apoptosis regulator 3	Mus musculus	protein_coding_gene	MGI	Bcnp1|Fam129c
Adck2	aarF domain containing kinase 2	Mus musculus	protein_coding_gene	MGI	
Smim10l1	small integral membrane protein 10 like 1	Mus musculus	protein_coding_gene	MGI	2700089E24Rik
Ube2g1	ubiquitin-conjugating enzyme E2G 1	Mus musculus	protein_coding_gene	MGI	2700059C12Rik|D130023C12Rik
Fsd1	fibronectin type 3 and SPRY domain-containing protein	Mus musculus	protein_coding_gene	MGI	
Tspan31	tetraspanin 31	Mus musculus	protein_coding_gene	MGI	2700085A14Rik|Sas
2810416G20Rik	RIKEN cDNA 2810416G20 gene	Mus musculus	protein_coding_gene	MGI	
Nrarp	Notch-regulated ankyrin repeat protein	Mus musculus	protein_coding_gene	MGI	2700054M22Rik
Acox2	acyl-Coenzyme A oxidase 2, branched chain	Mus musculus	protein_coding_gene	MGI	
Ttc14	tetratricopeptide repeat domain 14	Mus musculus	protein_coding_gene	MGI	2700016E08Rik|4930434D01Rik|4931403I22Rik|4933402I15Rik|cI-44
Bub1b	BUB1B, mitotic checkpoint serine/threonine kinase	Mus musculus	protein_coding_gene	MGI	BUBR1
Or13p10	olfactory receptor family 13 subfamily P member 10	Mus musculus	protein_coding_gene	MGI	IH12|GA_x6K02T2QD9B-18877756-18876809|MOR258-5|Olfr62
Or13a28	olfactory receptor family 13 subfamily A member 28	Mus musculus	protein_coding_gene	MGI	IH7|GA_x6K02T2PBJ9-42783826-42784758|MOR253-1|Olfr61
Msc	musculin	Mus musculus	protein_coding_gene	MGI	bHLHa22|MyoR
Lats1	large tumor suppressor	Mus musculus	protein_coding_gene	MGI	
Adam15	a disintegrin and metallopeptidase domain 15 (metargidin)	Mus musculus	protein_coding_gene	MGI	MDC15|metargidin
Or13a27	olfactory receptor family 13 subfamily A member 27	Mus musculus	protein_coding_gene	MGI	GA_x6K02T2PBJ9-42496183-42495251|IH6|MOR253-6|Olfr60
Hebp1	heme binding protein 1	Mus musculus	protein_coding_gene	MGI	p22 HBP
Ankrd50	ankyrin repeat domain 50	Mus musculus	protein_coding_gene	MGI	E430012K20Rik
Ccdc159	coiled-coil domain containing 159	Mus musculus	protein_coding_gene	MGI	2510048L02Rik
Bfar	bifunctional apoptosis regulator	Mus musculus	protein_coding_gene	MGI	RNF47
Dynlt3	dynein light chain Tctex-type 3	Mus musculus	protein_coding_gene	MGI	2310075M16Rik|Tcte1l
Cuedc2	CUE domain containing 2	Mus musculus	protein_coding_gene	MGI	3010002G01Rik
Rpl14	ribosomal protein L14	Mus musculus	protein_coding_gene	MGI	3100001N19Rik|CAG-ISL-7|CTG-B33|L14
Fgf22	fibroblast growth factor 22	Mus musculus	protein_coding_gene	MGI	2210414E06Rik
Naaa	N-acylethanolamine acid amidase	Mus musculus	protein_coding_gene	MGI	2210023K21Rik|3830414F09Rik|Asahl
Ap3b1	adaptor-related protein complex 3, beta 1 subunit	Mus musculus	protein_coding_gene	MGI	AP-3|beta3A|Hps2|recombination induced mutation 2|rim2
Xirp1	xin actin-binding repeat containing 1	Mus musculus	protein_coding_gene	MGI	Cmya1|mXin alpha|Xin
Gpr50	G-protein-coupled receptor 50	Mus musculus	protein_coding_gene	MGI	H9
Ppp1r17	protein phosphatase 1, regulatory subunit 17	Mus musculus	protein_coding_gene	MGI	Gsbs|G-substrate
Babam2	BRISC and BRCA1 A complex member 2	Mus musculus	protein_coding_gene	MGI	6030405P19Rik|B830038C02Rik|Bre
Dedd	death effector domain-containing	Mus musculus	protein_coding_gene	MGI	CASP8IP1|Dedpro1|DEFT|FLDED1|KE05
Cog1	component of oligomeric golgi complex 1	Mus musculus	protein_coding_gene	MGI	
Hsd17b10	hydroxysteroid (17-beta) dehydrogenase 10	Mus musculus	protein_coding_gene	MGI	Ads9|ERAB|Hadh2
Ate1	arginyltransferase 1	Mus musculus	protein_coding_gene	MGI	
Ugcg	UDP-glucose ceramide glucosyltransferase	Mus musculus	protein_coding_gene	MGI	Epcs21|GlcT-1|Ugcgl
Gt(pU21)77Imeg	gene trap 77, Institute of Molecular Embryology and Genetics	Mus musculus	gene	MGI	Gt(Ayu21)77Imeg|GtAyu21-77
AI606473	expressed sequence AI606473	Mus musculus	lncRNA_gene	MGI	
Gt(pU21)27Imeg	gene trap 27, Institute of Molecular Embryology and Genetics	Mus musculus	gene	MGI	Gt(Ayu21)27Imeg|GtAyu21-27
Zfp787	zinc finger protein 787	Mus musculus	protein_coding_gene	MGI	2210018M03Rik
Ankrd12	ankyrin repeat domain 12	Mus musculus	protein_coding_gene	MGI	2900001A12Rik|ANCO-2|GAC-1
Zbtb8os	zinc finger and BTB domain containing 8 opposite strand	Mus musculus	protein_coding_gene	MGI	2010001H09Rik|2310028N13Rik|Arch
Ube2n	ubiquitin-conjugating enzyme E2N	Mus musculus	protein_coding_gene	MGI	UBC13
Ptgr1	prostaglandin reductase 1	Mus musculus	protein_coding_gene	MGI	2510002C21Rik|Ltb4dh|Zadh3
2310039H08Rik	RIKEN cDNA 2310039H08 gene	Mus musculus	protein_coding_gene	MGI	
Esp1	exocrine gland secreted peptide 1	Mus musculus	protein_coding_gene	MGI	Gm6084
Ch25h	cholesterol 25-hydroxylase	Mus musculus	protein_coding_gene	MGI	m25OH
Tnnt1	troponin T1, skeletal, slow	Mus musculus	protein_coding_gene	MGI	skeletal muscle slow-twitch TnT|ssTnT|sTnT|Tnt
Rfxank	regulatory factor X-associated ankyrin-containing protein	Mus musculus	protein_coding_gene	MGI	Tvl1
Mrpl14	mitochondrial ribosomal protein L14	Mus musculus	protein_coding_gene	MGI	1110006I11Rik|MRP-L32|Rpml32
Pde3b	phosphodiesterase 3B, cGMP-inhibited	Mus musculus	protein_coding_gene	MGI	9830102A01Rik
Hs3st3a1	heparan sulfate (glucosamine) 3-O-sulfotransferase 3A1	Mus musculus	protein_coding_gene	MGI	3Ost3a
Gt(pU21)11Imeg	gene trap 11, Institute of Molecular Embryology and Genetics	Mus musculus	gene	MGI	Gt(Ayu21)11Imeg|GtAyu21-11
Mir708	microRNA 708	Mus musculus	miRNA_gene	MGI	mmu-mir-708|mir 708|Mirn708
Tnfrsf18	tumor necrosis factor receptor superfamily, member 18	Mus musculus	protein_coding_gene	MGI	Gitr
Spi16	serine protease inhibitor 16	Mus musculus	protein_coding_gene	MGI	
Spi15	serine protease inhibitor 15	Mus musculus	protein_coding_gene	MGI	
Serpinb9e	serine (or cysteine) peptidase inhibitor, clade B, member 9e	Mus musculus	protein_coding_gene	MGI	NK26|ovalbumin|Spi14
Serpinb9f	serine (or cysteine) peptidase inhibitor, clade B, member 9f	Mus musculus	protein_coding_gene	MGI	NK21|ovalbumin|Spi13
Ldb2	LIM domain binding 2	Mus musculus	protein_coding_gene	MGI	CLIM1|CLIM-1a|CLIM-1b|CLP-36|Ldb3
Serpinb9c	serine (or cysteine) peptidase inhibitor, clade B, member 9c	Mus musculus	protein_coding_gene	MGI	3830421J05Rik|NK9|ovalbumin|Spi11
Serpinb9b	serine (or cysteine) peptidase inhibitor, clade B, member 9b	Mus musculus	protein_coding_gene	MGI	1600019A21Rik|ovalbumin|R86|Spi10|SPI-CI
Serpinb9d	serine (or cysteine) peptidase inhibitor, clade B, member 9d	Mus musculus	protein_coding_gene	MGI	AT2|ovalbumin|Spi9
Ext1	exostosin glycosyltransferase 1	Mus musculus	protein_coding_gene	MGI	
Nrsn1	neurensin 1	Mus musculus	protein_coding_gene	MGI	Neurensin-1|Neuro-p24|Vmp
Zfp445	zinc finger protein 445	Mus musculus	protein_coding_gene	MGI	ZNF168
Hbp1	high mobility group box transcription factor 1	Mus musculus	protein_coding_gene	MGI	1700058O05Rik|C330012F01Rik|C86454
Igkv18-36	immunoglobulin kappa chain variable 18-36	Mus musculus	gene_segment	MGI	Gm16689
Serpinb8	serine (or cysteine) peptidase inhibitor, clade B, member 8	Mus musculus	protein_coding_gene	MGI	CAP2|CAP-2|NK10|ovalbumin|Spi8
Npm3	nucleoplasmin 3	Mus musculus	protein_coding_gene	MGI	Nub1
Usp10	ubiquitin specific peptidase 10	Mus musculus	protein_coding_gene	MGI	2610014N07Rik|Uchrp
Gm4251	predicted gene 4251	Mus musculus	lncRNA_gene	MGI	
Exog	endo/exonuclease (5'-3'), endonuclease G-like	Mus musculus	protein_coding_gene	MGI	Endogl1|ENDOGL2|ENGL-a|ENGL-B
Ncoa1	nuclear receptor coactivator 1	Mus musculus	protein_coding_gene	MGI	bHLHe74|KAT13A|SRC1|SRC-1|SRC-a/NCoA-1|steroid receptor coactivator-1
H2-M10.3	histocompatibility 2, M region locus 10.3	Mus musculus	protein_coding_gene	MGI	5.3H
Ppfibp2	PTPRF interacting protein, binding protein 2 (liprin beta 2)	Mus musculus	protein_coding_gene	MGI	Cclp1|liprin beta 2
Ighv7-2	immunoglobulin heavy variable 7-2	Mus musculus	gene_segment	MGI	Gm16699
Ighv2-9	immunoglobulin heavy variable 2-9	Mus musculus	gene_segment	MGI	Gm16700
Hlcs	holocarboxylase synthetase (biotin- [propriony-Coenzyme A-carboxylase (ATP-hydrolysing)] ligase)	Mus musculus	protein_coding_gene	MGI	410I21.SP6|D16Jhu34
Pick1	protein interacting with C kinase 1	Mus musculus	protein_coding_gene	MGI	Prkcabp
Cacnb2	calcium channel, voltage-dependent, beta 2 subunit	Mus musculus	protein_coding_gene	MGI	Cavbeta2|Cchb2
4930500E03Rik	RIKEN cDNA 4930500E03 gene	Mus musculus	lncRNA_gene	MGI	
AW551984	expressed sequence AW551984	Mus musculus	protein_coding_gene	MGI	
Bcat2	branched chain aminotransferase 2, mitochondrial	Mus musculus	protein_coding_gene	MGI	Bcat-2|Eca40
4930486A15Rik	RIKEN cDNA 4930486A15 gene	Mus musculus	lncRNA_gene	MGI	
Klhl18	kelch-like 18	Mus musculus	protein_coding_gene	MGI	
Bbs4	Bardet-Biedl syndrome 4 (human)	Mus musculus	protein_coding_gene	MGI	D9Ertd464e
Gm2582	predicted gene 2582	Mus musculus	lncRNA_gene	MGI	
Ighv1-26	immunoglobulin heavy variable 1-26	Mus musculus	gene_segment	MGI	Gm16717
4930488N24Rik	RIKEN cDNA 4930488N24 gene	Mus musculus	lncRNA_gene	MGI	
4930500F10Rik	RIKEN cDNA 4930500F10 gene	Mus musculus	lncRNA_gene	MGI	
Ct55	cancer/testis antigen 55	Mus musculus	protein_coding_gene	MGI	4930502E18Rik
Tomt	transmembrane O-methyltransferase	Mus musculus	protein_coding_gene	MGI	Comt2|F930017I19Rik
Igkv4-80	immunoglobulin kappa variable 4-80	Mus musculus	gene_segment	MGI	Gm16729
4930471E15Rik	RIKEN cDNA 4930471E15 gene	Mus musculus	lncRNA_gene	MGI	
4930471L23Rik	RIKEN cDNA 4930471L23 gene	Mus musculus	lncRNA_gene	MGI	
4930477J04Rik	RIKEN cDNA 4930477J04 gene	Mus musculus	lncRNA_gene	MGI	
Zfp960	zinc finger protein 960	Mus musculus	protein_coding_gene	MGI	BC018101
4930488N15Rik	RIKEN cDNA 4930488N15 gene	Mus musculus	lncRNA_gene	MGI	
Mei4	meiotic double-stranded break formation protein 4	Mus musculus	protein_coding_gene	MGI	4930486G11Rik
Cyp3a59	cytochrome P450, family 3, subfamily a, polypeptide 59	Mus musculus	protein_coding_gene	MGI	
Ighv1-77	immunoglobulin heavy variable 1-77	Mus musculus	gene_segment	MGI	Gm16746
Tnn	tenascin N	Mus musculus	protein_coding_gene	MGI	tenascin-W|Tnw
Ano7	anoctamin 7	Mus musculus	protein_coding_gene	MGI	IPCA-5|NGEP|NGEP-L|Pcanap5|Tmem16g
Gm4275	predicted gene 4275	Mus musculus	pseudogene	MGI	Dfa
Acap3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	Mus musculus	protein_coding_gene	MGI	Kiaa1716-hp|Centb5
Ppp1r3a	protein phosphatase 1, regulatory subunit 3A	Mus musculus	protein_coding_gene	MGI	GM|RGL
Car9	carbonic anhydrase 9	Mus musculus	protein_coding_gene	MGI	CAIX|MN/CA9
Strit1	small transmembrane regulator of ion transport 1	Mus musculus	protein_coding_gene	MGI	Gm34302
Sp7	Sp7 transcription factor 7	Mus musculus	protein_coding_gene	MGI	6430578P22Rik|osterix|Osx
Insyn2b	inhibitory synaptic factor family member 2B	Mus musculus	protein_coding_gene	MGI	Gm6041|Fam196b
Or5p64	olfactory receptor family 5 subfamily P member 64	Mus musculus	protein_coding_gene	MGI	GA_x6K02T2PBJ9-10586187-10585243|MOR204-15|Olfr488
Muc21	mucin 21	Mus musculus	protein_coding_gene	MGI	epiglycanin|Gm9573
Or5p1	olfactory receptor family 5 subfamily P member 1	Mus musculus	protein_coding_gene	MGI	GA_x6K02T2PBJ9-10646917-10647849|MOR204-11|Olfr491
Defb26	defensin beta 26	Mus musculus	protein_coding_gene	MGI	EG654457
Cmtm8	CKLF-like MARVEL transmembrane domain containing 8	Mus musculus	protein_coding_gene	MGI	2700018N07Rik|Cklfsf8
Cmtm7	CKLF-like MARVEL transmembrane domain containing 7	Mus musculus	protein_coding_gene	MGI	Cklfsf7
Cmtm6	CKLF-like MARVEL transmembrane domain containing 6	Mus musculus	protein_coding_gene	MGI	2810051A14Rik|Cklfsf6
Cmtm5	CKLF-like MARVEL transmembrane domain containing 5	Mus musculus	protein_coding_gene	MGI	1500005P16Rik|2900052H21Rik|Cklfsf5
Cmtm3	CKLF-like MARVEL transmembrane domain containing 3	Mus musculus	protein_coding_gene	MGI	9430096L06Rik|BNAS2|Cklfsf3
Scgb1b7	secretoglobin, family 1B, member 7	Mus musculus	protein_coding_gene	MGI	Gm6662|Abpa7
Or5p73	olfactory receptor family 5 subfamily P member 73	Mus musculus	protein_coding_gene	MGI	GA_x6K02T2PBJ9-10795522-10796514|MOR204-36|Olfr498
Cdkl3	cyclin-dependent kinase-like 3	Mus musculus	protein_coding_gene	MGI	B230379H01Rik
Or5p76	olfactory receptor family 5 subfamily P member 76	Mus musculus	protein_coding_gene	MGI	GA_x6K02T2PBJ9-10853935-10852991|MOR204-8|Olfr502
Cmtm1	CKLF-like MARVEL transmembrane domain containing 1	Mus musculus	protein_coding_gene	MGI	CKLFH1|CHLFH1a|Cklfsf1
Spag6l	sperm associated antigen 6-like	Mus musculus	protein_coding_gene	MGI	PF16|Spag6
Mfap5	microfibrillar associated protein 5	Mus musculus	protein_coding_gene	MGI	MAGP-2
Lats2	large tumor suppressor 2	Mus musculus	protein_coding_gene	MGI	
Ero1a	endoplasmic reticulum oxidoreductase 1 alpha	Mus musculus	protein_coding_gene	MGI	Ero1l
Tmprss2	transmembrane protease, serine 2	Mus musculus	protein_coding_gene	MGI	D16Ertd61e|epitheliasin
Igbp1b	immunoglobulin (CD79A) binding protein 1b	Mus musculus	protein_coding_gene	MGI	alpha4-b
Or5p80	olfactory receptor family 5 subfamily P member 80	Mus musculus	protein_coding_gene	MGI	GA_x6K02T2PBJ9-10959726-10960658|MOR204-6|Olfr508
Or10ab5	olfactory receptor family 10 subfamily AB member 5	Mus musculus	protein_coding_gene	MGI	GA_x6K02T2PBJ9-10976304-10975339|MOR267-14|Olfr509
Or5p81	olfactory receptor family 5 subfamily P member 81	Mus musculus	protein_coding_gene	MGI	GA_x6K02T2PBJ9-10997715-10998659|MOR204-34|Olfr510
Or10a3m	olfactory receptor family 10 subfamily A member 3M	Mus musculus	protein_coding_gene	MGI	GA_x6K02T2PBJ9-11043421-11044365|MOR268-3|Olfr512
Has2os	hyaluronan synthase 2, opposite strand	Mus musculus	lncRNA_gene	MGI	Hasnt|Has2as
Sall2	spalt like transcription factor 2	Mus musculus	protein_coding_gene	MGI	Msal-2
Gpr31b	G protein-coupled receptor 31, D17Leh66b region	Mus musculus	protein_coding_gene	MGI	
Pkn3	protein kinase N3	Mus musculus	protein_coding_gene	MGI	
Or10a49	olfactory receptor family 10 subfamily A member 49	Mus musculus	protein_coding_gene	MGI	GA_x6K02T2PBJ9-11199311-11198367|MOR268-4|Olfr517
Acsf2	acyl-CoA synthetase family member 2	Mus musculus	protein_coding_gene	MGI	
Or10a3n	olfactory receptor family 10 subfamily A member 3N	Mus musculus	protein_coding_gene	MGI	GA_x6K02T2PBJ9-11224559-11223615|MOR268-6|Olfr519
Or2at4	olfactory receptor family 2 subfamily AT member 4	Mus musculus	protein_coding_gene	MGI	GA_x6K02T2PBJ9-2411789-2412739|MOR101-1|Olfr520
Or2at1	olfactory receptor family 2 subfamily AT member 1	Mus musculus	protein_coding_gene	MGI	GA_x6K02T2PBJ9-2443810-2444775|MOR101-2|Olfr521
Mrps7	mitchondrial ribosomal protein S7	Mus musculus	protein_coding_gene	MGI	MRP-S7|Rpms7
Gm6871	predicted gene 6871	Mus musculus	protein_coding_gene	MGI	
Fbxo9	f-box protein 9	Mus musculus	protein_coding_gene	MGI	9030401P18Rik
Gm7247	predicted gene 7247	Mus musculus	protein_coding_gene	MGI	
8430437O03Rik	RIKEN cDNA 8430437O03 gene	Mus musculus	lncRNA_gene	MGI	
Muc4	mucin 4	Mus musculus	protein_coding_gene	MGI	4933405I11Rik
Or12j2	olfactory receptor family 12 subfamily J member 2	Mus musculus	protein_coding_gene	MGI	GA_x6K02T2PBJ9-42486061-42486978|MOR251-5|Olfr527
Fam217b	family with sequence similarity 217, member B	Mus musculus	protein_coding_gene	MGI	9030418K01Rik
Piezo2	piezo-type mechanosensitive ion channel component 2	Mus musculus	protein_coding_gene	MGI	9030411M15Rik|9430028L06Rik|Fam38b|Fam38b2
Or12j3	olfactory receptor family 12 subfamily J member 3	Mus musculus	protein_coding_gene	MGI	GA_x6K02T2PBJ9-42523824-42522901|MOR252-2|Olfr530
Kazn	kazrin, periplakin interacting protein	Mus musculus	protein_coding_gene	MGI	2310007B04Rik|9030409G11Rik
9030404E10Rik	RIKEN cDNA 9030404E10 gene	Mus musculus	lncRNA_gene	MGI	
Dmbx1	diencephalon/mesencephalon homeobox 1	Mus musculus	protein_coding_gene	MGI	Atx|Cdmx|Mbx|Otx3
9030607J07Rik	RIKEN cDNA 9030607J07 gene	Mus musculus	lncRNA_gene	MGI	Gm42631
Ankle1	ankyrin repeat and LEM domain containing 1	Mus musculus	protein_coding_gene	MGI	8430438L13Rik|Ankrd41
8430432A02Rik	RIKEN cDNA 8430432A02 gene	Mus musculus	lncRNA_gene	MGI	
8430429K09Rik	RIKEN cDNA 8430429K09 gene	Mus musculus	lncRNA_gene	MGI	
Ggt6	gamma-glutamyltransferase 6	Mus musculus	protein_coding_gene	MGI	9030405D14Rik
Topaz1	testis and ovary specific PAZ domain containing 1	Mus musculus	protein_coding_gene	MGI	Gm9524
Grap	GRB2-related adaptor protein	Mus musculus	protein_coding_gene	MGI	8430435N19Rik
Ak9	adenylate kinase 9	Mus musculus	protein_coding_gene	MGI	Akd1|Akd2|Gm7127|LOC215946
Ang3	angiogenin, ribonuclease A family, member 3	Mus musculus	protein_coding_gene	MGI	Angl|Rnase5c
Pde1a	phosphodiesterase 1A, calmodulin-dependent	Mus musculus	protein_coding_gene	MGI	
Socs3	suppressor of cytokine signaling 3	Mus musculus	protein_coding_gene	MGI	CIS3|Cish3|cytokine-inducible SH2 protein 3|E2a-Pbx1 target gene in fibroblasts 10|EF-10|SOCS-3|SSI-3|STAT-induced STAT inhibitor 3
Npc1l1	NPC1 like intracellular cholesterol transporter 1	Mus musculus	protein_coding_gene	MGI	9130221N23Rik|Niemann-Pick disease, type C1
Vmn1r152	vomeronasal 1 receptor 152	Mus musculus	protein_coding_gene	MGI	Gm8673
Gm5907	predicted gene 5907	Mus musculus	lncRNA_gene	MGI	Gm45519
Cyp2u1	cytochrome P450, family 2, subfamily u, polypeptide 1	Mus musculus	protein_coding_gene	MGI	8430436A10Rik
Vps35l	VPS35 endosomal protein sorting factor like	Mus musculus	protein_coding_gene	MGI	9030624J02Rik|Vsp35l
Nol4l	nucleolar protein 4-like	Mus musculus	protein_coding_gene	MGI	8430427H17Rik|LOC381396
Sfpq	splicing factor proline/glutamine rich (polypyrimidine tract binding protein associated)	Mus musculus	protein_coding_gene	MGI	1110004P21Rik|2810416M14Rik|5730453G22Rik|9030402K04Rik|D4Ertd314e|PSF|REP1
9030607L20Rik	RIKEN cDNA 9030607L20 gene	Mus musculus	lncRNA_gene	MGI	
9030419F21Rik	RIKEN cDNA 9030419F21 gene	Mus musculus	lncRNA_gene	MGI	
Pate11	prostate and testis expressed 11	Mus musculus	protein_coding_gene	MGI	Gm9513
8430436N08Rik	RIKEN cDNA 8430436N08 gene	Mus musculus	lncRNA_gene	MGI	
Rpl36a	ribosomal protein L36A	Mus musculus	protein_coding_gene	MGI	L44L|Rpl44
Gm9510	predicted gene 9510	Mus musculus	gene	MGI	
Socs2	suppressor of cytokine signaling 2	Mus musculus	protein_coding_gene	MGI	CIS2|Cish2|cytokine-inducible SH2 protein 2|D130043N08Rik|JAB|SOCS-2|SSI-2|STAT-induced STAT inhibitor 2
Fxyd5	FXYD domain-containing ion transport regulator 5	Mus musculus	protein_coding_gene	MGI	dysadherin|EF-8|Oit2
Fam3d	FAM3 metabolism regulating signaling molecule D	Mus musculus	protein_coding_gene	MGI	2310076N21Rik|EF-7|Oit1
Oit3	oncoprotein induced transcript 3	Mus musculus	protein_coding_gene	MGI	EF-9
Vill	villin-like	Mus musculus	protein_coding_gene	MGI	Villp
Atp6v1a	ATPase, H+ transporting, lysosomal V1 subunit A	Mus musculus	protein_coding_gene	MGI	Atp6a1|lysosomal 70kDa|VA68|VPP2
Gm6020	predicted gene 6020	Mus musculus	protein_coding_gene	MGI	
Ripk2	receptor (TNFRSF)-interacting serine-threonine kinase 2	Mus musculus	protein_coding_gene	MGI	2210420D18Rik|CARD3|CARDIAK|CCK|D4Bwg0615e|RICK|RIP2
Rasa1	RAS p21 protein activator 1	Mus musculus	protein_coding_gene	MGI	Gap|p120-rasGAP
AI314278	expressed sequence AI314278	Mus musculus	lncRNA_gene	MGI	
Peli2	pellino 2	Mus musculus	protein_coding_gene	MGI	
Pcdhac2	protocadherin alpha subfamily C, 2	Mus musculus	protein_coding_gene	MGI	CNRc2
Pcdhac1	protocadherin alpha subfamily C, 1	Mus musculus	protein_coding_gene	MGI	CNRc1
Csprs	component of Sp100-rs	Mus musculus	protein_coding_gene	MGI	D1Lub1
Rarg	retinoic acid receptor, gamma	Mus musculus	protein_coding_gene	MGI	RARgamma2|RAR gamma 2
Rarb	retinoic acid receptor, beta	Mus musculus	protein_coding_gene	MGI	Hap|RARbeta2|RAR beta 2
Rara	retinoic acid receptor, alpha	Mus musculus	protein_coding_gene	MGI	RARalpha1|RAR alpha 1
Rap2a	RAS related protein 2a	Mus musculus	protein_coding_gene	MGI	5830461H18Rik
Rap1a	RAS-related protein 1a	Mus musculus	protein_coding_gene	MGI	Krev-1|Rap1
Slc20a2	solute carrier family 20, member 2	Mus musculus	protein_coding_gene	MGI	MolPit2|Pit-2|Ram1|Ram-1
Raly	hnRNP-associated with lethal yellow	Mus musculus	protein_coding_gene	MGI	Merc
Foxp3	forkhead box P3	Mus musculus	protein_coding_gene	MGI	JM2|scurfin
Atp5md	ATP synthase membrane subunit DAPIT	Mus musculus	protein_coding_gene	MGI	2010301L15Rik|Usmg5
Pde4dip	phosphodiesterase 4D interacting protein (myomegalin)	Mus musculus	protein_coding_gene	MGI	4732458A06Rik|9430063L05Rik|D130016K21Rik|D3Bwg1078e|Usmg4
Sppl3	signal peptide peptidase 3	Mus musculus	protein_coding_gene	MGI	4833416I09Rik|Usmg3
Sval3	seminal vesicle antigen-like 3	Mus musculus	protein_coding_gene	MGI	
Ino80e	INO80 complex subunit E	Mus musculus	protein_coding_gene	MGI	Ccdc95
Slc36a2	solute carrier family 36 (proton/amino acid symporter), member 2	Mus musculus	protein_coding_gene	MGI	A530067G19Rik|PAT2|Tramd1
Rag2	recombination activating gene 2	Mus musculus	protein_coding_gene	MGI	Rag-2
Rag1	recombination activating 1	Mus musculus	protein_coding_gene	MGI	Rag-1
Raf1	v-raf-leukemia viral oncogene 1	Mus musculus	protein_coding_gene	MGI	6430402F14Rik|c-Raf|Craf1|Raf-1|sarcoma 3611 oncogene|v-Raf
Rac2	Rac family small GTPase 2	Mus musculus	protein_coding_gene	MGI	
Rac1	Rac family small GTPase 1	Mus musculus	protein_coding_gene	MGI	D5Ertd559e
Rab3d	RAB3D, member RAS oncogene family	Mus musculus	protein_coding_gene	MGI	C130057E11Rik
Rab3a	RAB3A, member RAS oncogene family	Mus musculus	protein_coding_gene	MGI	
Rab1a	RAB1A, member RAS oncogene family	Mus musculus	protein_coding_gene	MGI	Gtbp|Rab1|Rab-1|ras-related YPT1 protein|Ypt1
Hsd3b7	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7	Mus musculus	protein_coding_gene	MGI	
Pcdh15	protocadherin 15	Mus musculus	protein_coding_gene	MGI	Gm9815|nmf19|roda|Ush1f
Fgf23	fibroblast growth factor 23	Mus musculus	protein_coding_gene	MGI	
Plekhg2	pleckstrin homology domain containing, family G (with RhoGef domain) member 2	Mus musculus	protein_coding_gene	MGI	Clg
Mesd	mesoderm development LRP chaperone	Mus musculus	protein_coding_gene	MGI	2210015O11Rik|Mesdc2|msd
Tlnrd1	talin rod domain containing 1	Mus musculus	protein_coding_gene	MGI	Mesdc1
