Gene / product (bioentity_label)	Gene / product (bioentity_name)	Organism (taxon_label)	Type	Source	Synonyms
Lyst	lysosomal trafficking regulator	Mus musculus	protein_coding_gene	MGI	D13Sfk13
Dbx2	developing brain homeobox 2	Mus musculus	protein_coding_gene	MGI	LOC383001|9430056A22Rik
Fam13b	family with sequence similarity 13, member B	Mus musculus	protein_coding_gene	MGI	2610024E20Rik
Fpr1	formyl peptide receptor 1	Mus musculus	protein_coding_gene	MGI	fMLF-R|FPR
Cep131	centrosomal protein 131	Mus musculus	protein_coding_gene	MGI	AZ1|Azi1
Ciao2b	cytosolic iron-sulfur assembly component 2B	Mus musculus	protein_coding_gene	MGI	1110019N10Rik|Fam96b
Derl1	Der1-like domain family, member 1	Mus musculus	protein_coding_gene	MGI	1110021N07Rik|Derlin-1
Tmem70	transmembrane protein 70	Mus musculus	protein_coding_gene	MGI	1110020A09Rik|2210416J16Rik
1110002E22Rik	RIKEN cDNA 1110002E22 gene	Mus musculus	protein_coding_gene	MGI	
Sec14l2	SEC14-like lipid binding 2	Mus musculus	protein_coding_gene	MGI	1300013M05Rik|Spf|tap
Ubxn4	UBX domain protein 4	Mus musculus	protein_coding_gene	MGI	1300013G12Rik|Ubxd2
Poldip2	polymerase (DNA-directed), delta interacting protein 2	Mus musculus	protein_coding_gene	MGI	1300003F06Rik|mitogenin 1
Gm13775	predicted gene 13775	Mus musculus	lncRNA_gene	MGI	
Gm13587	predicted gene 13587	Mus musculus	lncRNA_gene	MGI	
Cab39	calcium binding protein 39	Mus musculus	protein_coding_gene	MGI	39kDa|MO25alpha
Capn3	calpain 3	Mus musculus	protein_coding_gene	MGI	Capa3|Capa-3|Lp82|p94
Cdh10	cadherin 10	Mus musculus	protein_coding_gene	MGI	A830016G23Rik|C030003B10Rik|C030011H18Rik|T2-cadherin
Cdh6	cadherin 6	Mus musculus	protein_coding_gene	MGI	cad6|K-cadherin
Cdh8	cadherin 8	Mus musculus	protein_coding_gene	MGI	cad8
Cdh9	cadherin 9	Mus musculus	protein_coding_gene	MGI	T1-cadherin
4930442P19Rik	RIKEN cDNA 4930442P19 gene	Mus musculus	lncRNA_gene	MGI	
Gdnf	glial cell line derived neurotrophic factor	Mus musculus	protein_coding_gene	MGI	glial cell line-derived neurotrophic factor
Rmdn3	regulator of microtubule dynamics 3	Mus musculus	protein_coding_gene	MGI	1200015F23Rik|Fam82a2
Tprgl	transformation related protein 63 regulated like	Mus musculus	protein_coding_gene	MGI	1200015A19Rik|mover
Jkamp	JNK1/MAPK8-associated membrane protein	Mus musculus	protein_coding_gene	MGI	1200003C05Rik
Tmem109	transmembrane protein 109	Mus musculus	protein_coding_gene	MGI	1110006I15Rik|MG23|mitsugumin23
Limd2	LIM domain containing 2	Mus musculus	protein_coding_gene	MGI	0610025L06Rik
Pllp	plasma membrane proteolipid	Mus musculus	protein_coding_gene	MGI	0610010I06Rik|plasmolipin|Tm4sf11
Dgat2	diacylglycerol O-acyltransferase 2	Mus musculus	protein_coding_gene	MGI	0610010B06Rik
G630016G05Rik	RIKEN cDNA G630016G05 gene	Mus musculus	lncRNA_gene	MGI	
Zfp980	zinc finger protein 980	Mus musculus	protein_coding_gene	MGI	Gm13242
Cfap20	cilia and flagella associated protein 20	Mus musculus	protein_coding_gene	MGI	2600014O15Rik|Gtl3|T10-2A2
Elavl4	ELAV like RNA binding protein 4	Mus musculus	protein_coding_gene	MGI	Hud
Il11ra1	interleukin 11 receptor, alpha chain 1	Mus musculus	protein_coding_gene	MGI	Il11ra|Il-11ra|Il-11ra-alpha|NR1
4930571B16Rik	RIKEN cDNA 4930571B16 gene	Mus musculus	lncRNA_gene	MGI	
Serac1	serine active site containing 1	Mus musculus	protein_coding_gene	MGI	4930511N22Rik|D17Ertd141e
Hspa4l	heat shock protein 4 like	Mus musculus	protein_coding_gene	MGI	94kDa|APG-1|Osp94
Aldoart1	aldolase 1 A, retrogene 1	Mus musculus	protein_coding_gene	MGI	4921524E03Rik|Aldo1-ps2|Aldoa-ps2
Ltv1	LTV1 ribosome biogenesis factor	Mus musculus	protein_coding_gene	MGI	2610020N02Rik
Snrnp48	small nuclear ribonucleoprotein 48 (U11/U12)	Mus musculus	protein_coding_gene	MGI	1110050F08Rik|6530403A03Rik
Rnls	renalase, FAD-dependent amine oxidase	Mus musculus	pseudogene	MGI	6530404N21Rik
Shisa5	shisa family member 5	Mus musculus	protein_coding_gene	MGI	2310008D10Rik|6430628I05Rik|Scotin
